"STATISTIC","Year","Age Group","Sex","Unit","Value"
"Population Estimates (Persons in April)","2023","Under 1 year","Both sexes","Thousand","55.7"
"Population Estimates (Persons in April)","2023","0 - 4 years","Both sexes","Thousand","293.8"
"Population Estimates (Persons in April)","2023","0 - 14 years","Both sexes","Thousand","1,011.6"
"Population Estimates (Persons in April)","2023","1 - 4 years","Both sexes","Thousand","238.1"
"Population Estimates (Persons in April)","2023","5 - 9 years","Both sexes","Thousand","338.6"
"Population Estimates (Persons in April)","2023","10 - 14 years","Both sexes","Thousand","379.2"
"Population Estimates (Persons in April)","2023","15 - 19 years","Both sexes","Thousand","349.5"
"Population Estimates (Persons in April)","2023","15 - 24 years","Both sexes","Thousand","667.2"
"Population Estimates (Persons in April)","2023","15 years and over","Both sexes","Thousand","4,270.0"
"Population Estimates (Persons in April)","2023","20 - 24 years","Both sexes","Thousand","317.8"
"Population Estimates (Persons in April)","2023","25 - 29 years","Both sexes","Thousand","308.5"
"Population Estimates (Persons in April)","2023","25 - 44 years","Both sexes","Thousand","1,457.7"
"Population Estimates (Persons in April)","2023","30 - 34 years","Both sexes","Thousand","337.0"
"Population Estimates (Persons in April)","2023","35 - 39 years","Both sexes","Thousand","384.5"
"Population Estimates (Persons in April)","2023","40 - 44 years","Both sexes","Thousand","427.7"
"Population Estimates (Persons in April)","2023","45 - 49 years","Both sexes","Thousand","382.7"
"Population Estimates (Persons in April)","2023","45 - 64 years","Both sexes","Thousand","1,338.7"
"Population Estimates (Persons in April)","2023","50 - 54 years","Both sexes","Thousand","354.5"
"Population Estimates (Persons in April)","2023","55 - 59 years","Both sexes","Thousand","316.3"
"Population Estimates (Persons in April)","2023","60 - 64 years","Both sexes","Thousand","285.2"
"Population Estimates (Persons in April)","2023","65 - 69 years","Both sexes","Thousand","244.8"
"Population Estimates (Persons in April)","2023","65 years and over","Both sexes","Thousand","806.3"
"Population Estimates (Persons in April)","2023","70 - 74 years","Both sexes","Thousand","210.5"
"Population Estimates (Persons in April)","2023","75 - 79 years","Both sexes","Thousand","162.1"
"Population Estimates (Persons in April)","2023","80 - 84 years","Both sexes","Thousand","101.8"
"Population Estimates (Persons in April)","2023","85 years and over","Both sexes","Thousand","87.1"
"Population Estimates (Persons in April)","2023","All ages","Both sexes","Thousand","5,281.6"
